Seq	Domain	Phylum	Class	Order	Family	Genus
Seq_0001440	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaeroglobus
Seq_0007160	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Seq_0008704	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Seq_0008917	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Seq_0007497	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
Seq_0002487	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Seq_0007440	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Seq_0003462	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Seq_0007513	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Seq_0008191	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Seq_0008623	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
